gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.40758500379183643	11	0.984	nan	nan
1	418	0.4034946373129688	10	0.86	nan	nan
2	394	0.3902210598249354	10	0.77	nan	nan
3	398	0.38089561170310593	12	0.742	nan	nan
4	388	0.37626550270864884	10	0.63	nan	nan
5	376	0.367277591252585	5	0.56	nan	nan
6	393	0.34746200345647316	9	0.508	nan	nan
7	377	0.34746200345647316	9	0.496	nan	nan
8	405	0.3409373496236739	9	0.498	nan	nan
9	398	0.33091733246247923	5	0.516	nan	nan
10	397	0.33091733246247923	5	0.474	nan	nan
11	401	0.33091733246247923	5	0.554	nan	nan
12	411	0.31933139182290315	7	0.576	nan	nan
13	405	0.31933139182290315	7	0.47	nan	nan
14	402	0.31933139182290315	7	0.438	nan	nan
15	365	0.3191407898855353	7	0.444	nan	nan
16	387	0.3160516547527157	10	0.426	nan	nan
17	407	0.3160516547527157	10	0.392	nan	nan
18	382	0.3160516547527157	10	0.384	nan	nan
19	376	0.3160516547527157	10	0.332	nan	nan
20	391	0.3160516547527157	10	0.334	nan	nan
21	377	0.3160516547527157	10	0.364	nan	nan
22	400	0.3160516547527157	10	0.382	nan	nan
23	414	0.3160516547527157	10	0.356	nan	nan
24	383	0.3160516547527157	10	0.314	nan	nan
25	399	0.3160516547527157	10	0.296	nan	nan
26	397	0.3155224820781435	30	0.342	nan	nan
27	401	0.31493486385724595	40	0.324	nan	nan
28	394	0.31455107222421025	23	0.298	nan	nan
29	398	0.31309140377825356	36	0.332	nan	nan
30	376	0.31281810968143386	18	0.266	nan	nan
31	411	0.31271869840433864	18	0.358	nan	nan
32	369	0.30850169956743545	11	0.32	nan	nan
33	389	0.30850169956743545	11	0.314	nan	nan
34	414	0.30850169956743545	11	0.3	nan	nan
35	399	0.3055004353995502	11	0.316	nan	nan
36	398	0.3055004353995502	11	0.312	nan	nan
37	374	0.3055004353995502	11	0.28	nan	nan
38	411	0.3050966972240608	14	0.276	nan	nan
39	389	0.3050966972240608	14	0.264	nan	nan
40	381	0.3050966972240608	14	0.216	nan	nan
41	388	0.3050966972240608	14	0.288	nan	nan
42	392	0.30320968493188893	73	0.254	nan	nan
43	413	0.30320968493188893	73	0.304	nan	nan
44	394	0.30320968493188893	73	0.232	nan	nan
45	387	0.30320968493188893	73	0.244	nan	nan
46	377	0.3017079680597948	17	0.23	nan	nan
47	397	0.3006755583748387	23	0.24	nan	nan
48	415	0.3006755583748387	23	0.266	nan	nan
49	377	0.3006755583748387	23	0.24	nan	nan
50	404	0.3001673685141734	41	0.226	0.9777777777777777	WTA3(OWA(OWA(IN28, OWA(IN37, OWA(OWA(OWA(IN28, OWA(IN37, OWA(IN28, OWA(IN37, IN19, '0.2'), '0.2'), '0.2'), '0.2'), OWA(IN37, IN19, '0.2'), '0.2'), OWA(IN37, IN19, '0.2'), '0.2'), '0.2'), '0.2'), OWA(IN37, IN19, '0.2'), '0.2'), IN27, concentrator(IN18))
