gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.463930378276936	9	0.848	nan	nan
1	389	0.44762592691887404	33	0.79	nan	nan
2	399	0.4353929596983631	13	0.696	nan	nan
3	402	0.4242091312804707	30	0.658	nan	nan
4	412	0.37612879206071725	5	0.592	nan	nan
5	413	0.37612879206071725	5	0.552	nan	nan
6	383	0.3663818558423277	33	0.528	nan	nan
7	390	0.3589582542528435	40	0.454	nan	nan
8	409	0.3562251586431009	40	0.424	nan	nan
9	381	0.35499884035180496	39	0.384	nan	nan
10	420	0.3498424017106084	49	0.378	nan	nan
11	375	0.34791018493180004	46	0.34	nan	nan
12	386	0.34646234146274574	43	0.3	nan	nan
13	399	0.3449696493277819	43	0.29	nan	nan
14	412	0.3446918774518493	47	0.308	nan	nan
15	395	0.3446918774518493	47	0.284	nan	nan
16	393	0.3446918774518493	47	0.292	nan	nan
17	384	0.3446918774518493	47	0.254	nan	nan
18	372	0.3446918774518493	47	0.256	nan	nan
19	387	0.3442637635415912	60	0.232	nan	nan
20	405	0.3442637635415912	60	0.244	nan	nan
21	411	0.34414541335690935	77	0.26	nan	nan
22	392	0.34414541335690935	77	0.21	nan	nan
23	394	0.34376976901528783	43	0.214	nan	nan
24	393	0.34110872818840876	68	0.206	nan	nan
25	396	0.3406233748805883	75	0.16	nan	nan
26	394	0.33943549393494965	74	0.222	nan	nan
27	408	0.33938258201270755	72	0.166	nan	nan
28	392	0.33882644613530727	70	0.152	nan	nan
29	378	0.33869193987947127	68	0.158	nan	nan
30	409	0.3357070863781881	148	0.176	nan	nan
31	400	0.3357070863781881	148	0.138	nan	nan
32	396	0.3348878454641101	143	0.146	nan	nan
33	377	0.3348878454641101	143	0.13	nan	nan
34	409	0.3344933811154621	139	0.158	nan	nan
35	391	0.3341404306681847	142	0.156	nan	nan
36	405	0.3333991117976201	141	0.164	nan	nan
37	381	0.3333991117976201	141	0.142	nan	nan
38	399	0.33337119758995903	140	0.166	nan	nan
39	377	0.33330521070998337	160	0.142	nan	nan
40	399	0.3330641672034644	160	0.154	nan	nan
41	416	0.3330641672034644	160	0.152	nan	nan
42	374	0.3330641672034644	160	0.158	nan	nan
43	399	0.33295270568200636	174	0.142	nan	nan
44	384	0.33239453259460083	174	0.124	nan	nan
45	377	0.33239453259460083	174	0.142	nan	nan
46	404	0.33239453259460083	174	0.158	nan	nan
47	408	0.33239453259460083	174	0.162	nan	nan
48	396	0.33239453259460083	174	0.158	nan	nan
49	391	0.3317386396392918	158	0.13	nan	nan
50	376	0.3316328262987746	161	0.082	0.8546511627906976	WTA(WA(concentrator(maximum(dilator(IN17), maximum(OWA(WA(minimum(IN17, maximum(IN18, IN9)), concentrator(maximum(IN17, maximum(dilator(IN22), dilator(IN8)))), '0.3'), IN17, extend(extend(extend(extend(extend(extend(extend('0.6')))))))), dilator(IN18)))), minimum(concentrator(maximum(dilator(IN17), maximum(dilator(IN22), dilator(IN0)))), OWA(WA(minimum(IN17, maximum(IN17, WA(minimum(IN17, maximum(IN18, IN9)), concentrator(maximum(IN17, maximum(dilator(IN22), dilator(IN0)))), '0.3'))), IN27, extend('0.6')), concentrator(dilator(OWA(WA(minimum(IN17, maximum(IN18, IN9)), minimum(IN8, IN8), extend('0.6')), IN17, extend(extend(extend(extend(extend(extend(extend('0.8')))))))))), extend(extend(extend(extend(extend('0.8'))))))), extend(extend(extend('0.3')))), OWA(complement(WA(concentrator(maximum(dilator(IN17), maximum(OWA(WA(minimum(IN17, maximum(IN18, IN9)), minimum(IN8, IN9), extend('0.6')), IN17, extend('0.8')), dilator(IN18)))), minimum(concentrator(maximum(IN17, maximum(dilator(IN22), dilator(IN0)))), OWA(WA(minimum(IN17, maximum(IN17, IN9)), minimum(IN27, IN8), extend('0.6')), concentrator(dilator(IN17)), '0.9')), extend(extend(extend('0.3'))))), IN27, extend(extend(extend(extend('0.8'))))))
