gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.4662082110783954	7	0.898	nan	nan
1	384	0.4587287934081237	26	0.704	nan	nan
2	400	0.43557800134095975	6	0.706	nan	nan
3	362	0.43446005664253	5	0.62	nan	nan
4	409	0.4313180080285941	11	0.564	nan	nan
5	382	0.4297925842812475	11	0.432	nan	nan
6	400	0.42552041328387447	14	0.382	nan	nan
7	412	0.42271479244996896	14	0.316	nan	nan
8	404	0.42271479244996896	14	0.304	nan	nan
9	392	0.42271479244996896	14	0.304	nan	nan
10	399	0.4210559567917888	22	0.24	nan	nan
11	387	0.4205124891636431	20	0.232	nan	nan
12	380	0.419699178660594	23	0.204	nan	nan
13	392	0.4193522247677029	18	0.23	nan	nan
14	392	0.41829069261119955	12	0.236	nan	nan
15	383	0.4182384864504685	21	0.246	nan	nan
16	384	0.41709063266100116	23	0.278	nan	nan
17	389	0.41709063266100116	23	0.252	nan	nan
18	379	0.4154513651720901	23	0.25	nan	nan
19	385	0.41444269282287166	30	0.272	nan	nan
20	375	0.4137101845674455	25	0.242	nan	nan
21	407	0.4132446268475787	41	0.276	nan	nan
22	378	0.4129149224960535	42	0.284	nan	nan
23	398	0.41066735180888403	44	0.304	nan	nan
24	403	0.4098301353007659	45	0.298	nan	nan
25	411	0.40918035808597075	46	0.342	nan	nan
26	418	0.4091308929691935	50	0.332	nan	nan
27	406	0.40821613106305876	55	0.358	nan	nan
28	397	0.4081557181623925	73	0.35	nan	nan
29	394	0.40792941295124685	68	0.336	nan	nan
30	404	0.40701078678779423	51	0.274	nan	nan
31	394	0.40701078678779423	51	0.278	nan	nan
32	395	0.40701078678779423	51	0.256	nan	nan
33	381	0.4065140144202732	51	0.252	nan	nan
34	410	0.4064432273756333	48	0.256	nan	nan
35	390	0.4064432273756333	48	0.246	nan	nan
36	396	0.4063407148318728	48	0.226	nan	nan
37	403	0.4060044743736938	63	0.204	nan	nan
38	393	0.4060044743736938	63	0.238	nan	nan
39	424	0.40588889641535636	78	0.258	nan	nan
40	409	0.4048498702216008	48	0.284	nan	nan
41	388	0.40478696834465683	52	0.238	nan	nan
42	384	0.4047479575147271	51	0.23	nan	nan
43	385	0.4038618005812501	28	0.26	nan	nan
44	408	0.4038618005812501	28	0.222	nan	nan
45	373	0.4038618005812501	28	0.262	nan	nan
46	373	0.40275123046229505	36	0.27	nan	nan
47	377	0.40275123046229505	36	0.254	nan	nan
48	415	0.40224575074331476	38	0.302	nan	nan
49	366	0.40151754308289606	39	0.282	nan	nan
50	379	0.40151754308289606	39	0.314	0.78125	WTA(complement(OWA(OWA(maximum(dilator(dilator(IN17)), dilator(IN22)), IN5, '0.2'), maximum(IN5, IN22), '0.2')), OWA(OWA(IN5, maximum(dilator(dilator(dilator(IN17))), OWA(maximum(dilator(dilator(IN17)), dilator(IN22)), IN5, '0.2')), '0.2'), maximum(IN5, dilator(IN22)), '0.2'))
