gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.44513980575884	93	0.908	nan	nan
1	407	0.4401491988801592	11	0.82	nan	nan
2	393	0.43351238797792446	89	0.75	nan	nan
3	391	0.4279197748072045	90	0.74	nan	nan
4	400	0.41712434618636485	106	0.69	nan	nan
5	401	0.4065594490046591	111	0.646	nan	nan
6	418	0.40399784298206115	111	0.672	nan	nan
7	400	0.39838854717270755	106	0.674	nan	nan
8	405	0.39625679709779377	91	0.59	nan	nan
9	399	0.3872541678241124	70	0.54	nan	nan
10	423	0.3872541678241124	70	0.504	nan	nan
11	402	0.3829399310285095	108	0.56	nan	nan
12	406	0.38021382713059854	105	0.604	nan	nan
13	392	0.37666285005644795	73	0.586	nan	nan
14	398	0.3745385671886021	72	0.606	nan	nan
15	406	0.3729963817593412	150	0.566	nan	nan
16	393	0.3703202830025638	161	0.52	nan	nan
17	413	0.3686734106896164	151	0.45	nan	nan
18	413	0.3686734106896164	151	0.428	nan	nan
19	407	0.3668637606318581	150	0.396	nan	nan
20	421	0.3664986901590215	151	0.396	nan	nan
21	401	0.3645303935154649	151	0.402	nan	nan
22	400	0.36410401961833366	148	0.4	nan	nan
23	392	0.3621796367444478	140	0.392	nan	nan
24	410	0.3621796367444478	140	0.484	nan	nan
25	387	0.36168969478144	149	0.448	nan	nan
26	408	0.3590365819930477	129	0.444	nan	nan
27	400	0.3587605142567435	141	0.474	nan	nan
28	421	0.3586247495620052	147	0.47	nan	nan
29	403	0.3546159082196779	147	0.49	nan	nan
30	387	0.3546159082196779	147	0.474	nan	nan
31	394	0.354155478634875	147	0.462	nan	nan
32	396	0.354155478634875	147	0.508	nan	nan
33	427	0.35343538008035535	162	0.488	nan	nan
34	401	0.35311115288595823	116	0.426	nan	nan
35	420	0.3525745738086533	149	0.422	nan	nan
36	383	0.3515396506646858	149	0.42	nan	nan
37	400	0.3514263337038662	166	0.428	nan	nan
38	384	0.35133945933358246	155	0.412	nan	nan
39	423	0.35032489248453946	117	0.454	nan	nan
40	401	0.35032489248453946	117	0.408	nan	nan
41	418	0.34920910034370306	168	0.484	nan	nan
42	408	0.3475215525305644	118	0.492	nan	nan
43	401	0.3475215525305644	118	0.474	nan	nan
44	414	0.34640735635115405	120	0.462	nan	nan
45	409	0.34628246433968407	120	0.404	nan	nan
46	408	0.3456445514254347	147	0.478	nan	nan
47	411	0.3445282194059397	128	0.48	nan	nan
48	409	0.34315548509652993	127	0.46	nan	nan
49	376	0.34214301531066993	123	0.402	nan	nan
50	426	0.34214301531066993	123	0.444	0.7866666666666666	WTA(maximum(OWA(WA(concentrator(dilator(IN28)), WA(maximum(IN7, IN24), OWA(IN25, maximum(IN28, IN24), extend('0.5')), extend(extend('0.2'))), '0.2'), complement(complement(WA(dilator(IN32), maximum(IN20, IN7), extend('0.7')))), extend(extend('0.5'))), minimum(dilator(minimum(OWA(WA(dilator(IN32), maximum(IN20, IN7), extend(extend(extend('0.2')))), IN32, extend('0.5')), IN4)), concentrator(maximum(maximum(IN28, IN1), complement(IN17))))), WA(minimum(concentrator(maximum(minimum(IN7, IN9), OWA(IN5, maximum(complement(WA(dilator(IN32), maximum(IN25, IN7), extend('0.7'))), IN7), '0.9'))), complement(OWA(IN25, maximum(IN28, OWA(IN6, WA(maximum(IN7, IN24), maximum(IN17, IN24), extend('0.2')), '0.7')), extend(extend('0.3'))))), complement(WA(WA(dilator(IN32), maximum(IN20, IN7), extend('0.7')), OWA(maximum(IN28, IN24), dilator(IN20), extend('0.5')), extend(extend('0.7')))), '0.5'))
