gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.39698777483836645	16	0.99	nan	nan
1	385	0.38123909893585467	17	0.792	nan	nan
2	386	0.35588107601417274	17	0.72	nan	nan
3	408	0.3355626141878515	13	0.666	nan	nan
4	392	0.33436041216410495	6	0.66	nan	nan
5	380	0.333250577718444	17	0.644	nan	nan
6	384	0.3265964017884495	14	0.482	nan	nan
7	394	0.29028651063152816	8	0.5	nan	nan
8	396	0.29028651063152816	8	0.536	nan	nan
9	368	0.2902717874816167	4	0.444	nan	nan
10	390	0.28223884493844326	11	0.342	nan	nan
11	392	0.28223884493844326	11	0.384	nan	nan
12	403	0.2812924523678148	13	0.31	nan	nan
13	400	0.2803786126842855	13	0.29	nan	nan
14	376	0.28012371012684106	12	0.244	nan	nan
15	384	0.2766420570837039	11	0.252	nan	nan
16	373	0.2766420570837039	11	0.25	nan	nan
17	387	0.2766420570837039	11	0.286	nan	nan
18	383	0.2755814611776849	12	0.226	nan	nan
19	397	0.27355150945956563	14	0.234	nan	nan
20	378	0.27355150945956563	14	0.274	nan	nan
21	415	0.27355150945956563	14	0.252	nan	nan
22	389	0.27355150945956563	14	0.264	nan	nan
23	369	0.27272794835683906	17	0.234	nan	nan
24	387	0.27272794835683906	17	0.224	nan	nan
25	390	0.27272794835683906	17	0.214	nan	nan
26	378	0.27178531326507677	17	0.196	nan	nan
27	403	0.27178531326507677	17	0.218	nan	nan
28	389	0.27178531326507677	17	0.22	nan	nan
29	398	0.27079632579299723	21	0.196	nan	nan
30	393	0.270039667918175	36	0.226	nan	nan
31	407	0.2682728774832869	32	0.224	nan	nan
32	382	0.2681799663270783	24	0.23	nan	nan
33	398	0.267586940518035	32	0.22	nan	nan
34	376	0.2646348478324681	24	0.218	nan	nan
35	384	0.2646348478324681	24	0.246	nan	nan
36	396	0.2646348478324681	24	0.252	nan	nan
37	397	0.2633396005909787	24	0.264	nan	nan
38	384	0.26310088125361913	31	0.272	nan	nan
39	376	0.2618089166632439	32	0.238	nan	nan
40	396	0.2564446504621515	28	0.314	nan	nan
41	379	0.2564446504621515	28	0.252	nan	nan
42	390	0.25379801159515974	28	0.228	nan	nan
43	401	0.25379801159515974	28	0.206	nan	nan
44	394	0.25335402054510675	30	0.248	nan	nan
45	397	0.25335402054510675	30	0.24	nan	nan
46	398	0.2516116674798543	28	0.248	nan	nan
47	389	0.24967271053770532	30	0.242	nan	nan
48	395	0.24788359933947277	28	0.198	nan	nan
49	381	0.24540402180345122	34	0.194	nan	nan
50	403	0.24540402180345122	34	0.244	0.9555555555555556	WTA3(minimum(complement(IN30), minimum(minimum(complement(IN30), minimum(complement(IN18), complement(maximum(IN0, maximum(IN36, WA(IN18, IN30, '0.7')))))), minimum(complement(IN18), complement(maximum(IN0, IN33))))), maximum(IN27, IN0), WA(IN18, IN30, '0.7'))
