gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.44693026309658956	6	0.836	nan	nan
1	417	0.4129963046980333	7	0.696	nan	nan
2	369	0.39773198348558797	58	0.588	nan	nan
3	406	0.39200741626091573	58	0.48	nan	nan
4	403	0.37389632504067966	53	0.448	nan	nan
5	400	0.3489843361875974	41	0.454	nan	nan
6	381	0.3372195492435945	50	0.422	nan	nan
7	377	0.3372195492435945	50	0.182	nan	nan
8	434	0.3348546229583774	40	0.054	nan	nan
9	417	0.33291952449231516	59	0.012	nan	nan
10	425	0.3317064378330689	56	0.03	nan	nan
11	413	0.3295871053979833	71	0.042	nan	nan
12	406	0.328587126509572	71	0.044	nan	nan
13	415	0.3281885941243708	69	0.054	nan	nan
14	376	0.3268833673831001	64	0.038	nan	nan
15	375	0.3259219852491808	69	0.04	nan	nan
16	382	0.32501222716709943	71	0.058	nan	nan
17	399	0.3246076447453926	64	0.07	nan	nan
18	385	0.3242861795220095	72	0.07	nan	nan
19	424	0.32375825872046093	65	0.084	nan	nan
20	383	0.3219189602818307	67	0.056	nan	nan
21	395	0.3215350337074471	70	0.084	nan	nan
22	385	0.3209703681372832	76	0.068	nan	nan
23	406	0.3207065272723623	80	0.08	nan	nan
24	422	0.31997203897058557	80	0.088	nan	nan
25	395	0.3198949486407898	59	0.072	nan	nan
26	397	0.31943740193495673	59	0.056	nan	nan
27	416	0.31943740193495673	59	0.064	nan	nan
28	390	0.31858609375751074	59	0.038	nan	nan
29	392	0.3181485766392459	61	0.046	nan	nan
30	416	0.3179851212400454	75	0.074	nan	nan
31	403	0.3167501238270949	60	0.05	nan	nan
32	404	0.3167501238270949	60	0.078	nan	nan
33	406	0.315584555204469	60	0.062	nan	nan
34	410	0.315584555204469	60	0.082	nan	nan
35	389	0.31557308592765215	100	0.084	nan	nan
36	413	0.3152376741480609	97	0.07	nan	nan
37	415	0.3152376741480609	97	0.05	nan	nan
38	402	0.3146068204508102	51	0.07	nan	nan
39	417	0.31432465441574636	107	0.056	nan	nan
40	401	0.31337437612872193	131	0.086	nan	nan
41	395	0.3123552285611944	104	0.116	nan	nan
42	408	0.3097522904857965	107	0.124	nan	nan
43	405	0.3093496945256946	112	0.158	nan	nan
44	409	0.30927787372653587	108	0.146	nan	nan
45	403	0.30905501959302156	133	0.146	nan	nan
46	382	0.30876179799565934	127	0.126	nan	nan
47	409	0.3085746595869627	152	0.142	nan	nan
48	418	0.30829510993756565	139	0.146	nan	nan
49	396	0.30771116440425844	139	0.132	nan	nan
50	415	0.30750727630670815	138	0.11	0.8430232558139535	WTA(OWA(complement(OWA(WA(complement(complement(OWA(IN25, complement(IN17), extend('0.8')))), complement(complement(OWA(IN25, complement(IN17), extend('0.8')))), '0.3'), complement(IN17), extend('0.9'))), OWA(complement(WA(OWA(OWA(IN25, complement(dilator(concentrator(IN18))), extend('0.8')), IN10, '0.3'), dilator(concentrator(IN18)), '0.2')), maximum(dilator(WA(IN6, IN8, extend('0.8'))), dilator(IN28)), extend('0.4')), '0.9'), WA(complement(OWA(complement(OWA(WA(IN20, complement(complement(OWA(IN25, complement(IN17), '0.9'))), '0.3'), complement(IN17), '0.8')), OWA(OWA(complement(WA(OWA(OWA(IN25, complement(dilator(concentrator(IN18))), extend('0.4')), IN10, '0.3'), dilator(concentrator(IN18)), '0.2')), maximum(dilator(dilator(WA(IN6, IN8, extend('0.8')))), dilator(IN28)), extend('0.5')), OWA(complement(dilator(concentrator(IN18))), maximum(dilator(WA(IN6, IN8, extend('0.8'))), dilator(IN28)), extend('0.4')), extend('0.3')), '0.9')), WA(complement(dilator(IN17)), complement(complement(OWA(IN25, complement(IN17), '0.9'))), '0.3'), extend('0.8')))
