gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.42727159102551043	27	0.826	nan	nan
1	421	0.4057141651849825	27	0.78	nan	nan
2	402	0.38889385901046014	27	0.712	nan	nan
3	412	0.3530662378055959	43	0.646	nan	nan
4	407	0.3483176907897014	45	0.454	nan	nan
5	426	0.34795445722599605	44	0.266	nan	nan
6	420	0.3449020943459824	16	0.196	nan	nan
7	380	0.3440886484586183	43	0.14	nan	nan
8	403	0.3341929189795349	17	0.158	nan	nan
9	399	0.3302492365757303	19	0.154	nan	nan
10	401	0.3301744079334459	16	0.158	nan	nan
11	408	0.3294051486209414	19	0.138	nan	nan
12	396	0.32532750344249106	18	0.122	nan	nan
13	398	0.32470032994064835	24	0.094	nan	nan
14	405	0.32455835198992516	24	0.084	nan	nan
15	400	0.318982362934884	29	0.076	nan	nan
16	381	0.31894673747155433	32	0.074	nan	nan
17	419	0.316248885755674	42	0.056	nan	nan
18	415	0.31608094822880295	44	0.068	nan	nan
19	394	0.3141076324847221	40	0.072	nan	nan
20	407	0.31397877205984853	43	0.048	nan	nan
21	422	0.3133385947885703	42	0.05	nan	nan
22	396	0.3122774743430446	40	0.038	nan	nan
23	409	0.3122774743430446	40	0.048	nan	nan
24	417	0.3122774743430446	40	0.05	nan	nan
25	410	0.3122643365884075	47	0.046	nan	nan
26	403	0.3122643365884075	47	0.044	nan	nan
27	409	0.312148355497994	60	0.032	nan	nan
28	417	0.3121005318505815	60	0.024	nan	nan
29	414	0.3121005318505815	60	0.046	nan	nan
30	412	0.3120881347490266	60	0.042	nan	nan
31	417	0.3120881347490266	60	0.042	nan	nan
32	362	0.31192263861559494	71	0.04	nan	nan
33	422	0.31192263861559494	71	0.034	nan	nan
34	401	0.31176563921029915	72	0.018	nan	nan
35	382	0.31176563921029915	72	0.018	nan	nan
36	392	0.3097843372814359	61	0.03	nan	nan
37	386	0.3097843372814359	61	0.044	nan	nan
38	418	0.30833117366028234	75	0.05	nan	nan
39	380	0.308225915950198	75	0.066	nan	nan
40	408	0.308225915950198	75	0.06	nan	nan
41	403	0.30799407637662074	76	0.08	nan	nan
42	412	0.30779592106250253	79	0.084	nan	nan
43	420	0.30757807331267534	76	0.07	nan	nan
44	398	0.3073729062113313	78	0.044	nan	nan
45	416	0.3073393582078525	78	0.026	nan	nan
46	405	0.3073393582078525	78	0.034	nan	nan
47	412	0.30732723333489415	78	0.046	nan	nan
48	395	0.3072073010428246	88	0.04	nan	nan
49	385	0.30716402211300003	88	0.064	nan	nan
50	395	0.30706017961168514	88	0.078	0.8662790697674418	WTA(complement(OWA(OWA(IN17, OWA(IN17, IN18, extend('0.3')), '0.1'), OWA(OWA(IN17, OWA(IN17, OWA(IN17, maximum(IN26, IN20), '0.6'), extend('0.1')), '0.1'), maximum(maximum(maximum(IN10, IN20), IN24), IN20), '0.6'), '0.6')), OWA(OWA(OWA(IN17, OWA(IN17, IN18, extend('0.3')), '0.1'), OWA(IN17, maximum(maximum(IN10, IN20), IN24), '0.6'), '0.6'), OWA(OWA(IN26, OWA(IN17, OWA(IN17, IN18, '0.6'), '0.1'), '0.1'), OWA(IN17, maximum(maximum(maximum(maximum(IN10, IN20), IN24), IN20), OWA(IN17, OWA(IN17, OWA(IN17, IN18, extend('0.1')), '0.3'), '0.6')), '0.6'), '0.6'), '0.1'))
