gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.4484474588142145	114	0.874	nan	nan
1	414	0.4141911673296311	7	0.738	nan	nan
2	400	0.4120890513959335	7	0.624	nan	nan
3	420	0.410190785728639	10	0.544	nan	nan
4	391	0.40621884985141804	15	0.366	nan	nan
5	363	0.40429302293124825	18	0.302	nan	nan
6	425	0.40211845674720076	40	0.32	nan	nan
7	396	0.39830794127797076	26	0.314	nan	nan
8	392	0.39830794127797076	26	0.342	nan	nan
9	410	0.39727509068700456	26	0.428	nan	nan
10	399	0.39663789496940854	24	0.352	nan	nan
11	383	0.39566953683548944	15	0.3	nan	nan
12	395	0.39405983936863404	43	0.328	nan	nan
13	406	0.39364817845719763	43	0.314	nan	nan
14	423	0.39336025100448	52	0.348	nan	nan
15	389	0.39335078374781074	43	0.398	nan	nan
16	420	0.3927206928531632	52	0.386	nan	nan
17	395	0.3927206928531632	52	0.372	nan	nan
18	413	0.39233582179585175	64	0.334	nan	nan
19	437	0.39195442367429134	64	0.3	nan	nan
20	421	0.39186174771801646	62	0.33	nan	nan
21	410	0.3915867900509969	71	0.32	nan	nan
22	401	0.3915195626329508	64	0.272	nan	nan
23	405	0.39089236831749435	81	0.278	nan	nan
24	409	0.39079570169139805	76	0.252	nan	nan
25	396	0.3907594354296225	76	0.264	nan	nan
26	414	0.3897827628842786	97	0.23	nan	nan
27	391	0.3897827628842786	97	0.154	nan	nan
28	412	0.3895174726532067	96	0.19	nan	nan
29	400	0.3895174726532067	96	0.158	nan	nan
30	412	0.38932045530561843	123	0.148	nan	nan
31	405	0.38915903868641916	96	0.144	nan	nan
32	407	0.38905597135263403	125	0.166	nan	nan
33	412	0.38893592435833757	103	0.168	nan	nan
34	399	0.3889249999756576	99	0.146	nan	nan
35	390	0.3887323205298116	123	0.156	nan	nan
36	401	0.3887323205298116	123	0.174	nan	nan
37	403	0.3885348612525586	115	0.202	nan	nan
38	391	0.3885348612525586	115	0.156	nan	nan
39	410	0.38842517693555356	115	0.16	nan	nan
40	399	0.38837519618193533	128	0.16	nan	nan
41	425	0.3882634232871831	114	0.188	nan	nan
42	417	0.3882286144349895	129	0.172	nan	nan
43	397	0.38818889432590103	115	0.17	nan	nan
44	406	0.3876849299877793	114	0.154	nan	nan
45	381	0.38765467471039844	115	0.168	nan	nan
46	416	0.3876058000419648	124	0.202	nan	nan
47	406	0.387412453818897	142	0.206	nan	nan
48	408	0.38729862352186684	142	0.172	nan	nan
49	404	0.38726406309419603	142	0.156	nan	nan
50	414	0.387218864690747	124	0.152	0.703125	WTA(complement(WA(OWA(IN22, maximum(maximum(maximum(IN1, dilator(IN22)), IN5), IN5), '0.2'), maximum(maximum(IN20, maximum(minimum(concentrator(IN19), minimum(maximum(maximum(maximum(IN20, maximum(minimum(concentrator(IN19), minimum(IN10, IN1)), IN5)), WA(maximum(IN1, IN10), IN5, '0.2')), IN5), maximum(maximum(IN20, maximum(minimum(concentrator(IN19), minimum(IN10, dilator(IN22))), IN5)), WA(IN22, IN5, '0.4')))), IN5)), WA(OWA(IN5, maximum(maximum(maximum(IN1, dilator(IN22)), IN5), IN1), '0.6'), IN5, '0.2')), '0.2')), WA(OWA(IN22, maximum(maximum(IN1, dilator(IN22)), IN5), '0.2'), maximum(maximum(maximum(IN17, maximum(minimum(maximum(IN20, maximum(minimum(concentrator(IN19), minimum(IN10, dilator(IN22))), IN5)), maximum(maximum(IN20, maximum(minimum(concentrator(IN19), minimum(IN10, IN1)), IN5)), WA(maximum(IN1, IN10), IN5, '0.4'))), IN5)), WA(IN22, IN5, '0.2')), IN20), '0.2'))
