Run started: 2026-07-25 00:01:48.679662
Total experiments: 245
Max workers: 11

[1/245] ✓ baseline | iris (4m24s, code=0)
[86/245] ✓ iris | n=10 mr=5% freq=5 (3m44s, code=0)
[87/245] ✓ wine | n=10 mr=5% freq=5 (5m13s, code=0)
[88/245] ✓ australian | n=5 mr=15% freq=5 (12m31s, code=0)
[89/245] ✓ heartDisease | n=10 mr=2% freq=5 (7m14s, code=0)
[90/245] ✓ pima | n=5 mr=15% freq=5 (12m48s, code=0)
[91/245] ✓ iris | n=10 mr=10% freq=5 (3m44s, code=0)
[92/245] ✓ wine | n=10 mr=10% freq=5 (5m14s, code=0)
[93/245] ✓ australian | n=10 mr=2% freq=5 (12m00s, code=0)
[94/245] ✓ heartDisease | n=10 mr=5% freq=5 (7m20s, code=0)
[95/245] ✓ pima | n=10 mr=2% freq=5 (12m34s, code=0)
[96/245] ✓ iris | n=10 mr=15% freq=5 (3m47s, code=0)
[97/245] ✓ australian | n=10 mr=5% freq=5 (11m58s, code=0)
[98/245] ✓ wine | n=10 mr=15% freq=5 (5m20s, code=0)
[99/245] ✓ heartDisease | n=10 mr=10% freq=5 (7m26s, code=0)
[100/245] ✓ pima | n=10 mr=5% freq=5 (12m17s, code=0)
[101/245] ✓ wine | n=15 mr=2% freq=5 (5m09s, code=0)
[102/245] ✓ iris | n=15 mr=2% freq=5 (3m37s, code=0)
[103/245] ✓ australian | n=10 mr=10% freq=5 (12m10s, code=0)
[104/245] ✓ heartDisease | n=10 mr=15% freq=5 (7m25s, code=0)
[105/245] ✓ pima | n=10 mr=10% freq=5 (12m39s, code=0)
[106/245] ✓ iris | n=15 mr=5% freq=5 (3m39s, code=0)
[107/245] ✓ wine | n=15 mr=5% freq=5 (5m08s, code=0)
[108/245] ✓ australian | n=10 mr=15% freq=5 (12m08s, code=0)
[109/245] ✓ heartDisease | n=15 mr=2% freq=5 (7m09s, code=0)
[110/245] ✓ pima | n=10 mr=15% freq=5 (12m36s, code=0)
[111/245] ✓ iris | n=15 mr=10% freq=5 (3m37s, code=0)
[112/245] ✓ wine | n=15 mr=10% freq=5 (5m11s, code=0)
[113/245] ✓ australian | n=15 mr=2% freq=5 (11m49s, code=0)
[114/245] ✓ heartDisease | n=15 mr=5% freq=5 (7m13s, code=0)
[115/245] ✓ pima | n=15 mr=2% freq=5 (12m11s, code=0)
[116/245] ✓ iris | n=15 mr=15% freq=5 (3m39s, code=0)
[117/245] ✓ wine | n=15 mr=15% freq=5 (5m10s, code=0)
[118/245] ✓ australian | n=15 mr=5% freq=5 (11m55s, code=0)
[119/245] ✓ heartDisease | n=15 mr=10% freq=5 (7m14s, code=0)
[120/245] ✓ pima | n=15 mr=5% freq=5 (12m01s, code=0)
[121/245] ✓ iris | n=5 mr=2% freq=10 (3m43s, code=0)
[122/245] ✓ wine | n=5 mr=2% freq=10 (5m09s, code=0)
[123/245] ✓ australian | n=15 mr=10% freq=5 (11m52s, code=0)
[124/245] ✓ heartDisease | n=15 mr=15% freq=5 (7m14s, code=0)
[125/245] ✓ pima | n=15 mr=10% freq=5 (12m15s, code=0)
[126/245] ✓ iris | n=5 mr=5% freq=10 (3m42s, code=0)
[127/245] ✓ wine | n=5 mr=5% freq=10 (5m11s, code=0)
[128/245] ✓ heartDisease | n=5 mr=2% freq=10 (7m13s, code=0)
[129/245] ✓ australian | n=15 mr=15% freq=5 (11m57s, code=0)
[130/245] ✓ pima | n=15 mr=15% freq=5 (12m17s, code=0)
[131/245] ✓ iris | n=5 mr=10% freq=10 (3m40s, code=0)
[132/245] ✓ wine | n=5 mr=10% freq=10 (5m13s, code=0)
[133/245] ✓ heartDisease | n=5 mr=5% freq=10 (7m27s, code=0)
[134/245] ✓ australian | n=5 mr=2% freq=10 (12m07s, code=0)
[135/245] ✓ pima | n=5 mr=2% freq=10 (12m40s, code=0)
[136/245] ✓ iris | n=5 mr=15% freq=10 (3m43s, code=0)
[137/245] ✓ wine | n=5 mr=15% freq=10 (5m13s, code=0)
[138/245] ✓ australian | n=5 mr=5% freq=10 (12m03s, code=0)
[139/245] ✓ heartDisease | n=5 mr=10% freq=10 (7m21s, code=0)
[140/245] ✓ pima | n=5 mr=5% freq=10 (12m23s, code=0)
[141/245] ✓ iris | n=10 mr=2% freq=10 (3m42s, code=0)
[142/245] ✓ wine | n=10 mr=2% freq=10 (5m13s, code=0)
[143/245] ✓ australian | n=5 mr=10% freq=10 (12m09s, code=0)
[144/245] ✓ heartDisease | n=5 mr=15% freq=10 (7m19s, code=0)
[145/245] ✓ pima | n=5 mr=10% freq=10 (12m26s, code=0)
[146/245] ✓ iris | n=10 mr=5% freq=10 (3m41s, code=0)
[147/245] ✓ wine | n=10 mr=5% freq=10 (5m10s, code=0)
[148/245] ✓ australian | n=5 mr=15% freq=10 (12m10s, code=0)
[149/245] ✓ heartDisease | n=10 mr=2% freq=10 (7m14s, code=0)
[150/245] ✓ pima | n=5 mr=15% freq=10 (12m31s, code=0)
[151/245] ✓ iris | n=10 mr=10% freq=10 (3m42s, code=0)
[152/245] ✓ wine | n=10 mr=10% freq=10 (5m10s, code=0)
[153/245] ✓ heartDisease | n=10 mr=5% freq=10 (7m16s, code=0)
[154/245] ✓ australian | n=10 mr=2% freq=10 (11m56s, code=0)
[155/245] ✓ pima | n=10 mr=2% freq=10 (12m13s, code=0)
[156/245] ✓ iris | n=10 mr=15% freq=10 (3m42s, code=0)
[157/245] ✓ wine | n=10 mr=15% freq=10 (5m15s, code=0)
[158/245] ✓ australian | n=10 mr=5% freq=10 (11m58s, code=0)
[159/245] ✓ heartDisease | n=10 mr=10% freq=10 (7m19s, code=0)
[160/245] ✓ pima | n=10 mr=5% freq=10 (12m13s, code=0)
[161/245] ✓ wine | n=15 mr=2% freq=10 (5m05s, code=0)
[162/245] ✓ iris | n=15 mr=2% freq=10 (3m37s, code=0)
[163/245] ✓ australian | n=10 mr=10% freq=10 (12m03s, code=0)
[164/245] ✓ heartDisease | n=10 mr=15% freq=10 (7m19s, code=0)
[165/245] ✓ pima | n=10 mr=10% freq=10 (12m18s, code=0)
[166/245] ✓ iris | n=15 mr=5% freq=10 (3m37s, code=0)
[167/245] ✓ wine | n=15 mr=5% freq=10 (5m08s, code=0)
[168/245] ✓ heartDisease | n=15 mr=2% freq=10 (7m03s, code=0)
[169/245] ✓ australian | n=10 mr=15% freq=10 (11m59s, code=0)
[170/245] ✓ pima | n=10 mr=15% freq=10 (12m15s, code=0)
[171/245] ✓ iris | n=15 mr=10% freq=10 (3m38s, code=0)
[172/245] ✓ wine | n=15 mr=10% freq=10 (5m08s, code=0)
[173/245] ✓ heartDisease | n=15 mr=5% freq=10 (7m06s, code=0)
[174/245] ✓ australian | n=15 mr=2% freq=10 (11m53s, code=0)
[175/245] ✓ pima | n=15 mr=2% freq=10 (12m11s, code=0)
[176/245] ✓ iris | n=15 mr=15% freq=10 (3m40s, code=0)
[177/245] ✓ australian | n=15 mr=5% freq=10 (11m40s, code=0)
[178/245] ✓ wine | n=15 mr=15% freq=10 (5m10s, code=0)
[179/245] ✓ heartDisease | n=15 mr=10% freq=10 (7m07s, code=0)
[180/245] ✓ pima | n=15 mr=5% freq=10 (12m03s, code=0)
[181/245] ✓ iris | n=5 mr=2% freq=25 (3m42s, code=0)
[182/245] ✓ wine | n=5 mr=2% freq=25 (5m08s, code=0)
[183/245] ✓ australian | n=15 mr=10% freq=10 (11m46s, code=0)
[184/245] ✓ heartDisease | n=15 mr=15% freq=10 (7m07s, code=0)
[185/245] ✓ pima | n=15 mr=10% freq=10 (12m09s, code=0)
[186/245] ✓ iris | n=5 mr=5% freq=25 (3m40s, code=0)
[187/245] ✓ wine | n=5 mr=5% freq=25 (5m09s, code=0)
[188/245] ✓ heartDisease | n=5 mr=2% freq=25 (7m11s, code=0)
[189/245] ✓ australian | n=15 mr=15% freq=10 (11m48s, code=0)
[190/245] ✓ pima | n=15 mr=15% freq=10 (12m05s, code=0)
[191/245] ✓ iris | n=5 mr=10% freq=25 (3m43s, code=0)
[192/245] ✓ wine | n=5 mr=10% freq=25 (5m10s, code=0)
[193/245] ✓ australian | n=5 mr=2% freq=25 (11m58s, code=0)
