dataset,config,mean_acc_deme,mean_acc_tourn,acc_diff,W_acc,p_acc,sig_acc,mean_bd_deme,mean_bd_tourn,bd_diff,W_bd,p_bd,sig_bd
wine,demes_5_mr5_freq10,0.9178,0.9111,0.0067,136.0,0.3139,=,0.1571,0.1236,0.0335,95.5,0.0144,+
wine,demes_5_mr5_freq25,0.9074,0.9111,-0.0037,159.5,0.6836,=,0.1663,0.1236,0.0427,46.0,0.0002,+
wine,demes_5_mr5_freq5,0.9156,0.9111,0.0044,182.5,0.8756,=,0.1285,0.1236,0.0049,222.0,0.829,=
iris,demes_10_mr10_freq1,0.9544,0.9553,-0.0009,13.5,0.928,=,0.0307,0.0622,-0.0315,40.5,0.0001,-
iris,demes_10_mr10_freq10,0.9553,0.9553,0.0,13.5,0.932,=,0.0625,0.0622,0.0003,231.0,0.9754,=
iris,demes_10_mr10_freq25,0.9535,0.9553,-0.0018,14.0,0.5687,=,0.0786,0.0622,0.0164,108.0,0.0179,+
iris,demes_10_mr10_freq5,0.9535,0.9553,-0.0018,8.0,0.5887,=,0.0505,0.0622,-0.0117,140.0,0.0937,=
iris,demes_10_mr15_freq1,0.9526,0.9553,-0.0026,14.0,0.3075,=,0.0273,0.0622,-0.0349,35.5,0.0001,-
iris,demes_10_mr15_freq10,0.9526,0.9553,-0.0026,12.0,0.3944,=,0.0427,0.0622,-0.0195,100.0,0.0064,-
iris,demes_10_mr15_freq25,0.9526,0.9553,-0.0026,20.0,0.7622,=,0.0602,0.0622,-0.002,187.0,0.7155,=
iris,demes_10_mr15_freq5,0.9526,0.9553,-0.0026,2.0,0.1308,=,0.0375,0.0622,-0.0247,74.0,0.0011,-
iris,demes_10_mr2_freq1,0.9553,0.9553,0.0,4.0,0.7055,=,0.0595,0.0622,-0.0027,198.5,0.4843,=
iris,demes_10_mr2_freq10,0.957,0.9553,0.0018,12.0,0.3926,=,0.1002,0.0622,0.038,33.0,0.0,+
iris,demes_10_mr2_freq25,0.9553,0.9553,0.0,9.5,0.8316,=,0.1226,0.0622,0.0604,3.0,0.0,+
iris,demes_10_mr2_freq5,0.9526,0.9553,-0.0026,4.5,0.4142,=,0.0948,0.0622,0.0326,64.5,0.0005,+
iris,demes_10_mr5_freq1,0.9561,0.9553,0.0009,10.5,0.5461,=,0.054,0.0622,-0.0082,167.5,0.1812,=
iris,demes_10_mr5_freq10,0.9561,0.9553,0.0009,12.0,0.7316,=,0.0948,0.0622,0.0326,35.5,0.0001,+
iris,demes_10_mr5_freq25,0.95,0.9553,-0.0053,18.0,0.3233,=,0.1033,0.0622,0.0411,22.0,0.0,+
iris,demes_10_mr5_freq5,0.9544,0.9553,-0.0009,5.5,0.5862,=,0.0781,0.0622,0.0159,143.0,0.0656,=
iris,demes_15_mr10_freq1,0.9544,0.9553,-0.0009,15.5,0.4007,=,0.0406,0.0622,-0.0216,67.5,0.002,-
iris,demes_15_mr10_freq10,0.9553,0.9553,-0.0,18.0,1.0,=,0.0768,0.0622,0.0146,86.5,0.008,+
iris,demes_15_mr10_freq25,0.9518,0.9553,-0.0035,16.5,0.4689,=,0.0965,0.0622,0.0343,25.0,0.0,+
iris,demes_15_mr10_freq5,0.9561,0.9553,0.0009,22.0,0.9523,=,0.0665,0.0622,0.0043,212.0,0.6733,=
iris,demes_15_mr15_freq1,0.9579,0.9553,0.0026,4.5,0.4142,=,0.0312,0.0622,-0.031,42.0,0.0001,-
iris,demes_15_mr15_freq10,0.9544,0.9553,-0.0009,27.5,0.6178,=,0.0588,0.0622,-0.0034,206.0,0.5856,=
iris,demes_15_mr15_freq25,0.9535,0.9553,-0.0018,21.0,0.4902,=,0.0788,0.0622,0.0166,85.5,0.0043,+
iris,demes_15_mr15_freq5,0.9509,0.9553,-0.0044,10.0,0.1345,=,0.0489,0.0622,-0.0133,123.5,0.0421,-
iris,demes_15_mr2_freq1,0.9544,0.9553,-0.0009,36.0,0.5003,=,0.0713,0.0622,0.0091,186.5,0.344,=
iris,demes_15_mr2_freq10,0.9518,0.9553,-0.0035,18.0,0.3203,=,0.1077,0.0622,0.0455,36.0,0.0001,+
iris,demes_15_mr2_freq25,0.9526,0.9553,-0.0026,11.0,0.5987,=,0.1204,0.0622,0.0582,4.0,0.0,+
iris,demes_15_mr2_freq5,0.9518,0.9553,-0.0035,11.0,0.3216,=,0.0911,0.0622,0.0289,56.5,0.0003,+
iris,demes_15_mr5_freq1,0.9553,0.9553,0.0,17.0,0.8867,=,0.0513,0.0622,-0.0109,162.0,0.1469,=
iris,demes_15_mr5_freq10,0.9509,0.9553,-0.0044,1.5,0.1025,=,0.0925,0.0622,0.0303,40.0,0.0001,+
iris,demes_15_mr5_freq25,0.9535,0.9553,-0.0018,10.0,0.9153,=,0.1125,0.0622,0.0503,23.5,0.0,+
iris,demes_15_mr5_freq5,0.9535,0.9553,-0.0018,3.5,0.5807,=,0.0822,0.0622,0.02,97.0,0.0053,+
iris,demes_5_mr10_freq1,0.9509,0.9553,-0.0044,4.5,0.0553,=,0.0301,0.0622,-0.0321,60.0,0.0004,-
iris,demes_5_mr10_freq10,0.957,0.9553,0.0018,15.5,0.7193,=,0.0467,0.0622,-0.0155,98.0,0.0098,-
iris,demes_5_mr10_freq25,0.9544,0.9553,-0.0009,14.0,0.5716,=,0.0549,0.0622,-0.0073,160.0,0.2137,=
iris,demes_5_mr10_freq5,0.9544,0.9553,-0.0009,9.0,0.3885,=,0.036,0.0622,-0.0262,86.0,0.0026,-
iris,demes_5_mr15_freq1,0.9579,0.9553,0.0026,9.0,0.3912,=,0.0241,0.0622,-0.0381,27.5,0.0,-
iris,demes_5_mr15_freq10,0.9553,0.9553,0.0,16.5,0.8318,=,0.0291,0.0622,-0.0331,43.5,0.0001,-
iris,demes_5_mr15_freq25,0.9553,0.9553,0.0,10.0,0.4966,=,0.0443,0.0622,-0.0179,88.0,0.0029,-
iris,demes_5_mr15_freq5,0.9561,0.9553,0.0009,6.5,0.7825,=,0.0265,0.0622,-0.0357,19.5,0.0,-
iris,demes_5_mr2_freq1,0.9526,0.9553,-0.0026,9.0,0.1022,=,0.0499,0.0622,-0.0123,138.5,0.0875,=
iris,demes_5_mr2_freq10,0.9588,0.9553,0.0035,9.5,0.2287,=,0.0795,0.0622,0.0173,107.5,0.0101,+
iris,demes_5_mr2_freq25,0.9579,0.9553,0.0026,17.0,0.509,=,0.0903,0.0622,0.0281,61.5,0.0004,+
iris,demes_5_mr2_freq5,0.9561,0.9553,0.0009,13.5,0.9313,=,0.0655,0.0622,0.0033,174.0,0.2288,=
iris,demes_5_mr5_freq1,0.9544,0.9553,-0.0009,10.0,0.4903,=,0.0472,0.0622,-0.015,109.0,0.0189,-
iris,demes_5_mr5_freq10,0.9561,0.9553,0.0009,1.5,0.4142,=,0.0615,0.0622,-0.0007,189.0,0.7499,=
iris,demes_5_mr5_freq25,0.9553,0.9553,0.0,12.0,0.3938,=,0.0757,0.0622,0.0135,110.5,0.0207,+
iris,demes_5_mr5_freq5,0.9561,0.9553,0.0009,13.0,0.8643,=,0.0509,0.0622,-0.0113,160.0,0.1358,=
australian,demes_10_mr10_freq1,0.8581,0.8581,0.0,121.5,0.8698,=,0.0623,0.1117,-0.0495,123.5,0.0421,-
australian,demes_10_mr10_freq10,0.8562,0.8581,-0.0019,80.0,0.5442,=,0.0677,0.1117,-0.0441,143.5,0.0671,=
australian,demes_10_mr10_freq25,0.8545,0.8581,-0.0037,64.0,0.2089,=,0.0837,0.1117,-0.0281,192.5,0.5887,=
australian,demes_10_mr10_freq5,0.8558,0.8581,-0.0023,104.0,0.4598,=,0.0719,0.1117,-0.0399,152.5,0.0998,=
australian,demes_10_mr15_freq1,0.8554,0.8581,-0.0027,66.0,0.3923,=,0.0402,0.1117,-0.0715,79.0,0.0016,-
australian,demes_10_mr15_freq10,0.8578,0.8581,-0.0004,113.0,0.9302,=,0.0567,0.1117,-0.0551,117.5,0.018,-
australian,demes_10_mr15_freq25,0.8585,0.8581,0.0004,135.0,0.6654,=,0.0663,0.1117,-0.0455,133.0,0.0677,=
australian,demes_10_mr15_freq5,0.855,0.8581,-0.0031,61.5,0.1755,=,0.0485,0.1117,-0.0632,89.0,0.0055,-
australian,demes_10_mr2_freq1,0.8556,0.8581,-0.0025,95.5,0.4828,=,0.1256,0.1117,0.0139,132.5,0.066,=
