dataset,config,mean_acc_deme,mean_acc_tourn,acc_diff,W_acc,p_acc,sig_acc,mean_bd_deme,mean_bd_tourn,bd_diff,W_bd,p_bd,sig_bd
heartDisease,demes_10_mr15_freq25,0.8027,0.8182,-0.0156,64.5,0.0438,-,0.1977,0.2192,-0.0215,180.0,0.2802,=
heartDisease,demes_10_mr15_freq5,0.8089,0.8182,-0.0093,114.0,0.1114,=,0.193,0.2192,-0.0262,164.5,0.2517,=
heartDisease,demes_10_mr2_freq1,0.8178,0.8182,-0.0004,137.0,0.7093,=,0.2385,0.2192,0.0193,195.0,0.4405,=
heartDisease,demes_10_mr2_freq10,0.8116,0.8182,-0.0067,119.0,0.3749,=,0.3197,0.2192,0.1005,31.5,0.0,+
heartDisease,demes_10_mr2_freq25,0.8058,0.8182,-0.0124,109.0,0.1491,=,0.3092,0.2192,0.09,54.5,0.0003,+
heartDisease,demes_10_mr2_freq5,0.8107,0.8182,-0.0076,122.0,0.4228,=,0.3208,0.2192,0.1016,41.5,0.0001,+
heartDisease,demes_10_mr5_freq1,0.8213,0.8182,0.0031,136.0,0.6883,=,0.2007,0.2192,-0.0185,192.5,0.4106,=
heartDisease,demes_10_mr5_freq10,0.8084,0.8182,-0.0098,98.5,0.1391,=,0.2867,0.2192,0.0675,88.5,0.0031,+
heartDisease,demes_10_mr5_freq25,0.796,0.8182,-0.0222,45.0,0.0005,-,0.2854,0.2192,0.0662,94.0,0.0044,+
heartDisease,demes_10_mr5_freq5,0.82,0.8182,0.0018,163.5,0.76,=,0.2873,0.2192,0.0681,83.0,0.0015,+
heartDisease,demes_15_mr10_freq1,0.8164,0.8182,-0.0018,184.5,0.9136,=,0.1958,0.2192,-0.0234,167.5,0.1812,=
heartDisease,demes_15_mr10_freq10,0.8009,0.8182,-0.0173,87.5,0.0734,=,0.2787,0.2192,0.0595,91.0,0.0028,+
heartDisease,demes_15_mr10_freq25,0.7902,0.8182,-0.028,79.0,0.0047,-,0.2545,0.2192,0.0353,112.5,0.0136,+
heartDisease,demes_15_mr10_freq5,0.8107,0.8182,-0.0076,92.5,0.4234,=,0.2739,0.2192,0.0547,112.0,0.012,+
heartDisease,demes_15_mr15_freq1,0.8084,0.8182,-0.0098,146.5,0.3059,=,0.1329,0.2192,-0.0863,55.0,0.0003,-
heartDisease,demes_15_mr15_freq10,0.8084,0.8182,-0.0098,154.0,0.2629,=,0.2159,0.2192,-0.0033,230.0,0.959,=
heartDisease,demes_15_mr15_freq25,0.7867,0.8182,-0.0316,74.0,0.0056,-,0.2127,0.2192,-0.0065,227.5,0.9181,=
heartDisease,demes_15_mr15_freq5,0.8111,0.8182,-0.0071,116.0,0.3299,=,0.2086,0.2192,-0.0106,205.0,0.5838,=
heartDisease,demes_15_mr2_freq1,0.824,0.8182,0.0058,119.5,0.3817,=,0.2337,0.2192,0.0145,194.5,0.6189,=
heartDisease,demes_15_mr2_freq10,0.8089,0.8182,-0.0093,103.5,0.1828,=,0.3214,0.2192,0.1022,26.0,0.0,+
heartDisease,demes_15_mr2_freq25,0.7991,0.8182,-0.0191,112.0,0.064,=,0.3112,0.2192,0.092,21.0,0.0,+
heartDisease,demes_15_mr2_freq5,0.8173,0.8182,-0.0009,189.0,1.0,=,0.2967,0.2192,0.0775,57.5,0.0003,+
heartDisease,demes_15_mr5_freq1,0.8222,0.8182,0.004,148.5,0.4903,=,0.2047,0.2192,-0.0145,195.0,0.4405,=
heartDisease,demes_15_mr5_freq10,0.8102,0.8182,-0.008,125.5,0.3178,=,0.2908,0.2192,0.0716,68.5,0.0007,+
heartDisease,demes_15_mr5_freq25,0.7973,0.8182,-0.0209,75.5,0.0109,-,0.2765,0.2192,0.0573,70.0,0.0008,+
heartDisease,demes_15_mr5_freq5,0.8253,0.8182,0.0071,127.5,0.3449,=,0.2865,0.2192,0.0673,74.0,0.0007,+
heartDisease,demes_5_mr10_freq1,0.8209,0.8182,0.0027,160.5,0.7026,=,0.1633,0.2192,-0.0559,117.5,0.0306,-
heartDisease,demes_5_mr10_freq10,0.8129,0.8182,-0.0053,118.0,0.5413,=,0.211,0.2192,-0.0082,228.0,0.9263,=
heartDisease,demes_5_mr10_freq25,0.812,0.8182,-0.0062,158.0,0.3026,=,0.2217,0.2192,0.0025,198.0,0.4779,=
heartDisease,demes_5_mr10_freq5,0.8227,0.8182,0.0044,136.0,0.3122,=,0.2124,0.2192,-0.0068,215.5,0.7266,=
heartDisease,demes_5_mr15_freq1,0.8249,0.8182,0.0067,109.5,0.3846,=,0.1173,0.2192,-0.1019,15.0,0.0,-
heartDisease,demes_5_mr15_freq10,0.824,0.8182,0.0058,144.0,0.4226,=,0.1891,0.2192,-0.0301,168.5,0.188,=
heartDisease,demes_5_mr15_freq25,0.8076,0.8182,-0.0107,121.5,0.1693,=,0.1762,0.2192,-0.043,131.0,0.0368,-
heartDisease,demes_5_mr15_freq5,0.8236,0.8182,0.0053,154.5,0.4054,=,0.161,0.2192,-0.0582,98.5,0.0058,-
heartDisease,demes_5_mr2_freq1,0.8227,0.8182,0.0044,135.5,0.4659,=,0.2259,0.2192,0.0067,219.5,0.7892,=
heartDisease,demes_5_mr2_freq10,0.8169,0.8182,-0.0013,125.5,0.7031,=,0.277,0.2192,0.0578,100.0,0.0054,+
heartDisease,demes_5_mr2_freq25,0.8102,0.8182,-0.008,154.0,0.2628,=,0.2802,0.2192,0.061,73.5,0.0011,+
heartDisease,demes_5_mr2_freq5,0.8204,0.8182,0.0022,169.5,0.6373,=,0.2647,0.2192,0.0455,143.0,0.1072,=
heartDisease,demes_5_mr5_freq1,0.8204,0.8182,0.0022,155.5,0.6106,=,0.2091,0.2192,-0.0101,227.0,0.9193,=
heartDisease,demes_5_mr5_freq10,0.8084,0.8182,-0.0098,112.0,0.1719,=,0.2576,0.2192,0.0384,142.0,0.0627,=
heartDisease,demes_5_mr5_freq25,0.8178,0.8182,-0.0004,185.5,0.9327,=,0.2517,0.2192,0.0325,132.0,0.0645,=
heartDisease,demes_5_mr5_freq5,0.8031,0.8182,-0.0151,113.0,0.0673,=,0.2371,0.2192,0.0179,185.0,0.4822,=
