dataset,tournament,n10_mr10_f1,n10_mr10_f10,n10_mr10_f25,n10_mr10_f5,n10_mr15_f1,n10_mr15_f10,n10_mr15_f25,n10_mr15_f5,n10_mr2_f1,n10_mr2_f10,n10_mr2_f25,n10_mr2_f5,n10_mr5_f1,n10_mr5_f10,n10_mr5_f25,n10_mr5_f5,n15_mr10_f1,n15_mr10_f10,n15_mr10_f25,n15_mr10_f5,n15_mr15_f1,n15_mr15_f10,n15_mr15_f25,n15_mr15_f5,n15_mr2_f1,n15_mr2_f10,n15_mr2_f25,n15_mr2_f5,n15_mr5_f1,n15_mr5_f10,n15_mr5_f25,n15_mr5_f5,n5_mr10_f1,n5_mr10_f10,n5_mr10_f25,n5_mr10_f5,n5_mr15_f1,n5_mr15_f10,n5_mr15_f25,n5_mr15_f5,n5_mr2_f1,n5_mr2_f10,n5_mr2_f25,n5_mr2_f5,n5_mr5_f1,n5_mr5_f10,n5_mr5_f25,n5_mr5_f5
wine,0.91(0.05),0.92(+0.004)=,0.90(-0.007)=,0.92(+0.011)=,0.92(+0.010)=,0.92(+0.013)=,0.90(-0.007)=,0.91(-0.004)=,0.92(+0.004)=,0.91(+0.001)=,0.91(+0.002)=,0.91(+0.001)=,0.90(-0.009)=,0.92(+0.010)=,0.91(+0.002)=,0.91(-0.001)=,0.92(+0.010)=,0.92(+0.009)=,0.90(-0.010)=,0.90(-0.007)=,0.91(-0.003)=,0.92(+0.008)=,0.91(-0.002)=,0.91(-0.004)=,0.92(+0.005)=,0.92(+0.013)=,0.91(-0.005)=,0.90(-0.009)=,0.90(-0.007)=,0.91(-0.004)=,0.91(-0.004)=,0.90(-0.013)=,0.91(-0.001)=,0.91(+0.003)=,0.91(-0.002)=,0.90(-0.010)=,0.93(+0.015)=,0.91(-0.001)=,0.91(+0.001)=,0.90(-0.010)=,0.92(+0.011)=,0.91(-0.004)=,0.91(+0.000)=,0.91(-0.003)=,0.92(+0.009)=,0.91(-0.001)=,0.92(+0.007)=,0.91(-0.004)=,0.92(+0.004)=
iris,0.96(0.03),0.95(-0.001)=,0.96(+0.000)=,0.95(-0.002)=,0.95(-0.002)=,0.95(-0.003)=,0.95(-0.003)=,0.95(-0.003)=,0.95(-0.003)=,0.96(+0.000)=,0.96(+0.002)=,0.96(+0.000)=,0.95(-0.003)=,0.96(+0.001)=,0.96(+0.001)=,0.95(-0.005)=,0.95(-0.001)=,0.95(-0.001)=,0.96(-0.000)=,0.95(-0.004)=,0.96(+0.001)=,0.96(+0.003)=,0.95(-0.001)=,0.95(-0.002)=,0.95(-0.004)=,0.95(-0.001)=,0.95(-0.004)=,0.95(-0.003)=,0.95(-0.004)=,0.96(+0.000)=,0.95(-0.004)=,0.95(-0.002)=,0.95(-0.002)=,0.95(-0.004)=,0.96(+0.002)=,0.95(-0.001)=,0.95(-0.001)=,0.96(+0.003)=,0.96(+0.000)=,0.96(+0.000)=,0.96(+0.001)=,0.95(-0.003)=,0.96(+0.004)=,0.96(+0.003)=,0.96(+0.001)=,0.95(-0.001)=,0.96(+0.001)=,0.96(+0.000)=,0.96(+0.001)=
australian,0.86(0.02),0.86(+0.000)=,0.86(-0.002)=,0.85(-0.004)=,0.86(-0.002)=,0.86(-0.003)=,0.86(-0.000)=,0.86(+0.000)=,0.85(-0.003)=,0.86(-0.003)=,0.86(-0.002)=,0.86(+0.000)=,0.85(-0.005)=,0.86(-0.003)=,0.86(-0.002)=,0.86(-0.002)=,0.86(-0.003)=,0.86(-0.002)=,0.85(-0.005)=,0.86(-0.003)=,0.85(-0.005)=,0.86(-0.003)=,0.85(-0.004)=,0.86(-0.003)=,0.86(-0.001)=,0.86(-0.001)=,0.86(-0.002)=,0.85(-0.005)=,0.86(-0.002)=,0.86(-0.002)=,0.85(-0.006)-,0.85(-0.006)=,0.86(-0.002)=,0.85(-0.005)-,0.86(-0.003)=,0.86(-0.002)=,0.86(-0.000)=,0.85(-0.003)=,0.86(+0.001)=,0.86(-0.002)=,0.85(-0.004)=,0.86(-0.003)=,0.86(+0.002)=,0.86(+0.000)=,0.86(+0.001)=,0.85(-0.003)=,0.86(-0.001)=,0.86(-0.000)=,0.86(-0.001)=
pima,0.75(0.03),0.76(+0.001)=,0.75(-0.000)=,0.75(-0.002)=,0.76(+0.002)=,0.75(-0.001)=,0.75(-0.003)=,0.75(-0.002)=,0.75(-0.001)=,0.75(-0.002)=,0.75(-0.001)=,0.76(+0.002)=,0.75(-0.002)=,0.75(-0.001)=,0.76(+0.003)=,0.75(+0.001)=,0.75(+0.001)=,0.76(+0.002)=,0.75(-0.004)=,0.75(-0.002)=,0.75(-0.002)=,0.76(+0.002)=,0.75(-0.004)=,0.75(-0.006)=,0.75(-0.002)=,0.76(+0.003)=,0.75(-0.002)=,0.75(-0.002)=,0.75(+0.000)=,0.75(-0.002)=,0.75(-0.002)=,0.75(-0.005)=,0.75(-0.003)=,0.75(-0.002)=,0.75(-0.000)=,0.76(+0.001)=,0.76(+0.002)=,0.75(-0.001)=,0.76(+0.004)=,0.76(+0.003)=,0.75(-0.001)=,0.76(+0.002)=,0.76(+0.003)=,0.76(+0.003)=,0.75(+0.001)=,0.75(-0.002)=,0.76(+0.002)=,0.75(+0.000)=,0.75(+0.000)=
heartDisease,0.82(0.03),0.82(+0.002)=,0.80(-0.015)=,0.81(-0.012)-,0.81(-0.004)=,0.82(-0.002)=,0.81(-0.005)=,0.80(-0.016)-,0.81(-0.009)=,0.82(-0.000)=,0.81(-0.007)=,0.81(-0.012)=,0.81(-0.008)=,0.82(+0.003)=,0.81(-0.010)=,0.80(-0.022)-,0.82(+0.002)=,0.82(-0.002)=,0.80(-0.017)=,0.79(-0.028)-,0.81(-0.008)=,0.81(-0.010)=,0.81(-0.010)=,0.79(-0.032)-,0.81(-0.007)=,0.82(+0.006)=,0.81(-0.009)=,0.80(-0.019)=,0.82(-0.001)=,0.82(+0.004)=,0.81(-0.008)=,0.80(-0.021)-,0.83(+0.007)=,0.82(+0.003)=,0.81(-0.005)=,0.81(-0.006)=,0.82(+0.004)=,0.82(+0.007)=,0.82(+0.006)=,0.81(-0.011)=,0.82(+0.005)=,0.82(+0.004)=,0.82(-0.001)=,0.81(-0.008)=,0.82(+0.002)=,0.82(+0.002)=,0.81(-0.010)=,0.82(-0.000)=,0.80(-0.015)=
