dataset,tournament,n_demes=5,n_demes=10,n_demes=15,mr=2%,mr=5%,mr=10%,mr=15%,freq=1,freq=5,freq=10,freq=25
wine,0.1236,0.1196,0.1602,0.1765,0.1949,0.1731,0.1367,0.1037,0.1042,0.1502,0.1674,0.1866
iris,0.0622,0.0508,0.0686,0.0767,0.0877,0.0753,0.0559,0.0424,0.0431,0.0607,0.0711,0.0865
australian,0.1117,0.0715,0.0858,0.0848,0.1046,0.0923,0.0726,0.0533,0.0741,0.0811,0.0788,0.0889
pima,0.3083,0.262,0.2698,0.2722,0.3256,0.2937,0.25,0.2027,0.2391,0.2909,0.288,0.254
heartDisease,0.2192,0.216,0.2405,0.2497,0.2832,0.2562,0.2235,0.1786,0.1844,0.2471,0.258,0.252
