gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.25198241481541583	11	0.968	nan	nan
1	399	0.25198241481541583	11	0.776	nan	nan
2	386	0.23691469684260183	9	0.658	nan	nan
3	394	0.23691469684260183	9	0.56	nan	nan
4	390	0.21973326742666008	12	0.526	nan	nan
5	395	0.21973326742666008	12	0.338	nan	nan
6	370	0.21973326742666008	12	0.376	nan	nan
7	398	0.21577619171179335	12	0.354	nan	nan
8	391	0.21156415034507114	8	0.312	nan	nan
9	394	0.2078255020834511	9	0.306	nan	nan
10	389	0.2078255020834511	9	0.192	nan	nan
11	388	0.2077707439093462	13	0.31	nan	nan
12	373	0.2077707439093462	13	0.276	nan	nan
13	397	0.2077707439093462	13	0.22	nan	nan
14	402	0.2077707439093462	13	0.234	nan	nan
15	401	0.2077707439093462	13	0.136	nan	nan
16	406	0.20777039852649964	14	0.24	nan	nan
17	397	0.20777039852649964	14	0.232	nan	nan
18	406	0.20777039852649964	14	0.2	nan	nan
19	400	0.20777039852649964	14	0.182	nan	nan
20	369	0.20777039850984264	15	0.1	nan	nan
21	389	0.20777039850984264	15	0.218	nan	nan
22	408	0.20777039850984264	15	0.192	nan	nan
23	395	0.20390787474036187	13	0.172	nan	nan
24	393	0.20390787474036187	13	0.166	nan	nan
25	398	0.20390787474036187	13	0.12	nan	nan
26	404	0.20111324089817034	13	0.2	nan	nan
27	384	0.20111324089817034	13	0.168	nan	nan
28	404	0.20111324089817034	13	0.192	nan	nan
29	400	0.20111324089817034	13	0.178	nan	nan
30	406	0.20111324089817034	13	0.09	nan	nan
31	383	0.20111324089817034	13	0.18	nan	nan
32	384	0.20111324089817034	13	0.154	nan	nan
33	405	0.20111324089817034	13	0.142	nan	nan
34	394	0.20111324089817034	13	0.14	nan	nan
35	402	0.20111324089817034	13	0.088	nan	nan
36	413	0.20111324089817034	13	0.158	nan	nan
37	373	0.20111324089817034	13	0.126	nan	nan
38	406	0.20004200006600215	9	0.132	nan	nan
39	393	0.20004200006600215	9	0.132	nan	nan
40	404	0.20004200006600215	9	0.072	nan	nan
41	394	0.20004200006600215	9	0.16	nan	nan
42	388	0.20004200006600215	9	0.156	nan	nan
43	393	0.20004200006600215	9	0.124	nan	nan
44	412	0.20004200006600215	9	0.138	nan	nan
45	399	0.20004200006600215	9	0.052	nan	nan
46	399	0.20004200006600215	9	0.144	nan	nan
47	399	0.20004200006600215	9	0.126	nan	nan
48	383	0.20004200006600215	9	0.126	nan	nan
49	424	0.20004200006600215	9	0.13	nan	nan
50	392	0.20004200006600215	9	0.07	0.9473684210526315	WTA3(IN6, concentrator(IN10), maximum(maximum(IN11, IN8), IN8))
