gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.49444342984765355	103	0.894	nan	nan
1	424	0.4615840197514813	101	0.778	nan	nan
2	406	0.3902032817801458	37	0.686	nan	nan
3	395	0.38901978347169447	37	0.654	nan	nan
4	434	0.38335605187780475	50	0.55	nan	nan
5	414	0.3811390466181988	50	0.536	nan	nan
6	394	0.37862028624783023	42	0.43	nan	nan
7	405	0.3780851361961045	43	0.314	nan	nan
8	419	0.37482478606580344	53	0.286	nan	nan
9	394	0.37303606564005637	35	0.25	nan	nan
10	414	0.3716195460893434	40	0.262	nan	nan
11	404	0.3706623340643862	88	0.234	nan	nan
12	419	0.36930777127544784	51	0.256	nan	nan
13	394	0.36730572381020693	67	0.226	nan	nan
14	399	0.3672088372482004	75	0.196	nan	nan
15	416	0.36625836268758105	67	0.23	nan	nan
16	404	0.3632177578957843	42	0.2	nan	nan
17	414	0.3629700841034357	41	0.196	nan	nan
18	406	0.3629700841034357	41	0.248	nan	nan
19	409	0.3626633024072987	47	0.29	nan	nan
20	406	0.36199082131194243	47	0.256	nan	nan
21	385	0.3617243961789362	54	0.27	nan	nan
22	424	0.3617243961789362	54	0.306	nan	nan
23	419	0.3611086433795068	52	0.29	nan	nan
24	418	0.3611086433795068	52	0.242	nan	nan
25	413	0.3606411718563987	55	0.24	nan	nan
26	406	0.36007919321525245	43	0.196	nan	nan
27	423	0.3597240935310291	61	0.188	nan	nan
28	386	0.3597240935310291	61	0.24	nan	nan
29	410	0.3595978526088775	59	0.284	nan	nan
30	429	0.3588138449945976	57	0.364	nan	nan
31	414	0.3585900679354617	59	0.35	nan	nan
32	386	0.3580587228185993	58	0.37	nan	nan
33	399	0.35759274969878396	56	0.384	nan	nan
34	404	0.35759274969878396	56	0.418	nan	nan
35	406	0.3562902047804887	58	0.364	nan	nan
36	411	0.3561658139469937	57	0.344	nan	nan
37	412	0.3560251052426824	57	0.296	nan	nan
38	415	0.3554989029127465	71	0.262	nan	nan
39	407	0.3552537713991813	71	0.28	nan	nan
40	425	0.355129017534957	71	0.282	nan	nan
41	392	0.3549283399058771	71	0.29	nan	nan
42	395	0.35401416898811316	54	0.272	nan	nan
43	419	0.3540040318652442	74	0.272	nan	nan
44	431	0.3530156883732019	76	0.318	nan	nan
45	421	0.35239335603790783	77	0.306	nan	nan
46	392	0.3522152473130892	91	0.338	nan	nan
47	411	0.35153687957611235	77	0.332	nan	nan
48	398	0.349677228048261	75	0.338	nan	nan
49	392	0.3491223159529046	87	0.308	nan	nan
50	395	0.34756395640946347	114	0.344	0.7466666666666667	WTA(OWA(minimum(WA(IN28, IN6, '0.7'), minimum(WA(IN28, IN6, extend('0.7')), WA(IN1, IN28, extend('0.7')))), IN32, extend(extend(extend(extend('0.6'))))), OWA(WA(concentrator(IN4), OWA(OWA(IN33, complement(IN28), '0.5'), OWA(concentrator(concentrator(IN33)), IN21, '0.8'), extend('0.7')), '0.5'), OWA(OWA(concentrator(IN33), minimum(WA(concentrator(IN4), OWA(OWA(IN33, IN26, '0.5'), OWA(WA(concentrator(IN4), OWA(OWA(minimum(WA(IN28, IN6, '0.7'), minimum(WA(IN28, IN6, '0.7'), WA(IN1, IN28, extend(extend(extend('0.7')))))), IN32, extend(extend(extend(extend('0.6'))))), OWA(concentrator(concentrator(IN33)), IN21, '0.8'), extend('0.7')), '0.5'), IN21, '0.7'), extend('0.7')), '0.6'), complement(IN28)), extend(extend(extend('0.7')))), IN30, extend(extend(extend('0.8')))), extend(extend(extend('0.6')))))
