gen	nevals	best_train_fitness	best_ind_nodes	behavioural_diversity	accuracy_test	best_phenotype
0	500	0.36392928071104175	9	0.964	nan	nan
1	413	0.28328839450898247	17	0.742	nan	nan
2	397	0.2732704035795978	17	0.62	nan	nan
3	411	0.25704143187453754	8	0.604	nan	nan
4	414	0.22888028039765826	6	0.426	nan	nan
5	408	0.1929433385569066	7	0.366	nan	nan
6	406	0.18719754670809371	6	0.318	nan	nan
7	389	0.18719754670809371	6	0.292	nan	nan
8	409	0.18695505823165903	10	0.256	nan	nan
9	418	0.18695505823165903	10	0.17	nan	nan
10	402	0.18619645112223218	8	0.114	nan	nan
11	418	0.1858382152234605	8	0.12	nan	nan
12	384	0.18559395071584453	12	0.116	nan	nan
13	405	0.18559395071584453	12	0.134	nan	nan
14	415	0.18466645663038497	12	0.148	nan	nan
15	418	0.18466645663038497	12	0.11	nan	nan
16	411	0.18466645663038497	12	0.108	nan	nan
17	403	0.184533308102638	12	0.082	nan	nan
18	396	0.184533308102638	12	0.078	nan	nan
19	420	0.184533308102638	12	0.092	nan	nan
20	392	0.184533308102638	12	0.07	nan	nan
21	422	0.18440540370621597	18	0.076	nan	nan
22	399	0.1843944825405191	18	0.08	nan	nan
23	420	0.1843944825405191	18	0.076	nan	nan
24	408	0.1843944825405191	18	0.074	nan	nan
25	384	0.1843944825405191	18	0.076	nan	nan
26	412	0.1843944825405191	18	0.066	nan	nan
27	419	0.1843944825405191	18	0.068	nan	nan
28	405	0.1843944825405191	18	0.066	nan	nan
29	388	0.1843944825405191	18	0.056	nan	nan
30	404	0.1843944825405191	18	0.07	nan	nan
31	404	0.1843944825405191	18	0.066	nan	nan
32	410	0.1843944825405191	18	0.076	nan	nan
33	413	0.1843944825405191	18	0.062	nan	nan
34	393	0.1843944825405191	18	0.06	nan	nan
35	401	0.1843944825405191	18	0.078	nan	nan
36	400	0.18439409335356027	18	0.06	nan	nan
37	403	0.18439409335356027	18	0.066	nan	nan
38	411	0.18439409335356027	18	0.072	nan	nan
39	391	0.18439409335356027	18	0.07	nan	nan
40	413	0.18439409335356027	18	0.066	nan	nan
41	417	0.18439409335356027	18	0.066	nan	nan
42	415	0.18439409335356027	18	0.084	nan	nan
43	410	0.18439409335356027	18	0.074	nan	nan
44	425	0.18439409335356027	18	0.074	nan	nan
45	407	0.18439409335356027	18	0.074	nan	nan
46	414	0.18439409335356027	18	0.092	nan	nan
47	394	0.18439409335356027	18	0.072	nan	nan
48	408	0.18439409335356027	18	0.08	nan	nan
49	414	0.18407704185661186	29	0.078	nan	nan
50	410	0.18407704185661186	29	0.08	0.9210526315789473	WTA3(WA(dilator(IN6), WA(IN6, IN9, '0.3'), '0.4'), minimum(minimum(minimum(minimum(concentrator(IN10), minimum(IN7, IN7)), complement(WA(concentrator(IN3), IN8, '0.2'))), IN7), complement(IN5)), dilator(IN11))
